,name,Mej,vej,Mdisk,Yeej,geometry,chi2
0,Mej range,0.00657073,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,158681.5122999792
1,Mej range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003
2,Mej range,0.0007697169999999997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,106299.04687132445
3,Vej range,0.0017980113581159997,0.2469188118026096,0.06293493863471805,0.1835692435557267,aniso3comp,123073.99998065311
4,Vej range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003
5,Vej range,0.0017980113581159997,0.17692462291487798,0.06293493863471805,0.1835692435557267,aniso3comp,122426.8834274139
6,Mdisk range,0.0017980113581159997,0.1813846883546216,0.11641051283201778,0.1835692435557267,aniso3comp,27179.012793091053
7,Mdisk range,0.0017980113581159997,0.1813846883546216,0.06293493863471805,0.1835692435557267,aniso3comp,123187.39389848003
8,Mdisk range,0.0017980113581159997,0.1813846883546216,0.034942214901152666,0.1835692435557267,aniso3comp,497879.01379095507
